PRN15EnA111;1;0;0;3.57;
PRN15EnA112;1;0;0;3.31;
PRN15Fluid01;1;0;0;2.44;
PRN15LinAlg11;1;0;1;9.65;11.06
PRN15LinAlg21;1;1;0;0.97;
PRN15Model01;1;1;0;1.8;
PRN15Music11;1;0;1;9.89;17.92
PRN15Num61;1;0;1;9.65;14.26
PRN15Signal31;1;0;0;2.98;
PRN15Stats11;1;1;1;6.05;12.05
PRN15Thermo21;1;0;1;6.22;10.9
PRN15Topo11;1;0;1;6.04;8.56
ETE15Algo11;1;0;0;4.07;
ETE15Ana01;1;1;1;8.95;12.86
ETE15Complex01;1;1;0;3.32;
ETE15Data31;1;1;1;7.7;4.63
ETE15EnA21;1;1;1;6.15;15.2
ETE15EnB22;1;0;0;0.93;
ETE15EnC12;1;0;0;0.23;
ETE15LinAlg01;1;1;1;8.79;16.63
ETE15Logic01;1;1;0;2.74;
ETE15Music01;1;1;0;4.93;
ETE15Net01;1;1;0;2.88;
ETE15Num11;1;1;1;7.68;14.9
ETE15Prog01;1;0;0;4.35;
ETE15Techno01;1;1;0;3.8;
AUT15Data01;1;1;1;5.85;8.92
AUT15Data11;1;0;1;7.58;17.54
AUT15EnA111;1;1;1;5.54;7.67
AUT15EnA121;1;1;1;9.11;15.93
AUT15EnB111;1;0;0;0.77;
AUT15Fluid21;1;0;1;6.3;11.85
AUT15LinAlg21;1;0;0;1.92;
AUT15Music01;1;0;1;9.43;11.59
AUT15Techno01;1;1;1;7.05;13.61
AUT15Topo21;1;0;1;9.71;11.83
PRN16Ana11;1;0;1;8.75;4.7
PRN16Ana12;1;0;1;6.48;19.56
PRN16Comp01;1;1;1;9.32;12.94
PRN16Elec31;1;0;1;7.02;16.01
PRN16LinAlg02;1;0;0;0.53;
PRN16LinAlg11;1;0;1;8.51;18.24
PRN16Logic02;1;0;1;5.38;15.96
PRN16Net01;1;0;0;3.33;
PRN16Net11;1;0;0;3.94;
PRN16Net12;1;1;1;7.38;2.17
PRN16Num01;1;0;1;9.51;12.15
PRN16Prog01;1;0;0;1.83;
PRN16Prog11;1;1;0;4.45;
PRN16ProgLin1;1;1;1;8.43;19.27
PRN16Signal31;1;0;0;4.35;
PRN16Techno21;1;1;0;1.66;
PRN16Thermo21;1;1;0;0.81;
PRN16Topo11;1;1;0;1.59;
ETE16Ana11;1;0;1;9.49;11.0
ETE16Complex01;1;1;1;7.51;7.04
ETE16EnB11;1;1;0;3.5;
ETE16Logic01;1;1;0;0.42;
ETE16Optique01;1;1;1;7.55;19.43
ETE16ProgLin1;1;1;1;6.72;1.06
ETE16Signal41;1;1;1;7.32;0.01
AUT16Algo11;1;1;0;3.95;
AUT16Elec01;1;0;0;0.25;
AUT16EnA111;1;1;1;9.51;16.02
AUT16EnB111;1;1;0;0.62;
AUT16EnB121;1;0;0;3.91;
AUT16EnB221;1;0;1;8.24;12.37
AUT16Logic01;1;0;0;2.83;
AUT16Mesure01;1;0;1;6.27;13.57
AUT16Prog31;1;1;0;2.25;
AUT16Techno12;1;0;0;4.7;
AUT16Techno22;1;0;1;9.14;12.7
AUT16Thermo11;1;1;1;7.87;18.13
PRN17Algo21;1;0;1;9.56;8.77
PRN17Ana11;1;1;1;6.5;3.25
PRN17Comp02;1;0;1;9.65;11.47
PRN17Complex02;1;1;0;1.71;
PRN17Complex21;1;1;1;5.16;3.2
PRN17Elec01;1;0;0;1.41;
PRN17Elec31;1;0;1;9.01;0.12
PRN17EnB112;1;1;0;4.75;
PRN17EnB121;1;0;0;0.03;
PRN17Fourier11;1;1;0;2.41;
PRN17LinAlg01;1;1;0;4.52;
PRN17LinAlg02;1;1;1;9.51;9.52
PRN17LinAlg11;1;1;1;9.84;19.25
PRN17Mesure01;1;1;1;7.5;2.91
PRN17Model02;1;0;0;2.24;
PRN17Net01;1;0;1;7.18;1.7
PRN17Num11;1;0;0;4.55;
PRN17Num61;1;1;0;4.53;
PRN17Prog11;1;1;0;4.86;
PRN17Signal11;1;1;1;7.18;1.65
PRN17Signal31;1;0;1;9.27;11.7
PRN17Stats11;1;0;1;6.04;7.87
PRN17Techno02;1;1;1;8.82;11.56
PRN17Techno22;1;0;0;4.35;
ETE17Comb01;1;1;0;4.04;
ETE17Comp11;1;1;1;8.6;15.25
ETE17Elec11;1;1;0;1.97;
ETE17Fourier11;1;1;0;0.37;
ETE17Mat11;1;0;1;8.24;1.13
ETE17Prog11;1;1;1;9.09;11.79
ETE17Prog21;1;0;0;4.8;
ETE17Signal41;1;0;0;0.74;
ETE17Stats31;1;0;1;5.5;16.95
AUT17Ana21;1;0;1;6.52;12.74
AUT17Comb02;1;0;0;4.32;
AUT17Comb21;1;1;0;1.44;
AUT17Complex01;1;0;1;7.54;18.6
AUT17Data11;1;1;1;7.21;14.67
AUT17Meca01;1;1;1;8.24;17.77
AUT17Music01;1;0;1;7.17;1.79
AUT17Music21;1;0;1;8.84;0.91
AUT17Num51;1;1;1;7.96;15.66
AUT17Num71;1;1;1;9.72;2.84
AUT17Proba11;1;0;1;6.54;14.4
AUT17Prog01;1;1;0;1.36;
AUT17Prog41;1;1;1;7.72;15.1
AUT17Techno21;1;0;1;8.32;6.29
PRN18Comp02;1;1;0;0.41;
PRN18DevWeb11;1;1;1;7.3;
PRN18Elec01;1;1;0;2.15;
PRN18EnA121;1;0;0;3.76;
PRN18EnA122;1;1;1;5.19;
PRN18EnA211;1;0;0;4.05;
PRN18EnA212;1;0;0;2.1;
PRN18EnA221;1;0;0;3.92;
PRN18EnB212;1;0;0;3.09;
PRN18LinAlg11;1;1;0;1.43;
PRN18Logic01;1;0;0;1.56;
PRN18Logic03;1;0;1;7.15;
PRN18Logic21;1;0;1;6.59;
PRN18Mat21;1;1;0;4.43;
PRN18Meca11;1;1;0;0.72;
PRN18Mesure01;1;0;1;8.12;
PRN18Music01;1;1;0;4.32;
PRN18Net12;1;1;0;0.36;
PRN18Num11;1;1;1;7.25;
PRN18Optique01;1;0;0;4.2;
PRN18Prog11;1;1;0;1.06;
ETE18Comb11;1;1;0;2.34;
ETE18Data01;1;0;1;8.42;
ETE18EnA12;1;1;0;3.14;
ETE18EnB11;1;0;0;0.03;
ETE18Fluid01;1;1;1;5.74;
ETE18Fourier11;1;1;0;2.17;
ETE18Fourier21;1;0;1;8.25;
ETE18LinAlg01;1;0;1;7.8;
ETE18LinAlg11;1;0;1;8.55;
ETE18Num31;1;1;1;9.96;
ETE18Optique01;1;0;0;3.33;
ETE18Stats31;1;0;0;2.51;
ETE18Techno01;1;0;0;1.22;
ETE18Techno11;1;0;1;5.18;
AUT18Ana11;1;1;0;2.99;
AUT18DevWeb01;1;0;0;3.21;
AUT18DevWeb11;1;1;1;9.81;
AUT18Elec02;1;0;0;3.59;
AUT18EnA111;1;1;0;3.91;
AUT18EnA121;1;0;1;6.35;
AUT18EnB111;1;0;0;3.97;
AUT18EnB121;1;0;0;0.93;
AUT18Fluid01;1;1;1;6.93;
AUT18Music21;1;1;0;3.39;
AUT18Proba11;1;0;0;4.1;
AUT18Prog31;1;1;0;2.25;
AUT18Stats11;1;1;0;4.33;
